#Created using genes_of_rxns.pl on Monday, October 23rd, 2023.
Reaction ID	gene
INOSINATE-NUCLEOSIDASE-RXN	b2795
6PGLUCONOLACT-RXN	b0767
RXN-21266	b3635
RXN-14160	b3449
RXN0-6733	b4095
ACETYLORNTRANSAM-RXN	b3359
ACETYLORNTRANSAM-RXN	b1748
ACETYLORNTRANSAM-RXN	b2662
RXN-14283	b0403
LIPIDXSYNTHESIS-RXN	b0524
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	b0159
RXN-7682	b2868
RXN-7682	b2867
RXN-7682	b2866
RXN-14473	b4055
MALTODEG-RXN	b3416
RXN0-7002	b1734
ALANINE-AMINOTRANSFERASE-RXN	b2290
ALANINE-AMINOTRANSFERASE-RXN	b2379
RXN-8632	b3945
RXN-14513	b0383
METHYLISOCITRATE-LYASE-RXN	b0331
AMACETOXID-RXN	b1386
NADPH-DEHYDROGENASE-FLAVIN-RXN	b2764
NADPH-DEHYDROGENASE-FLAVIN-RXN	b3844
RXN0-7101	b4266
RXN0-7101	b2842
ARGSUCCINLYA-RXN	b3960
RXN0-1401	b4094
ATPPHOSPHORIBOSYLTRANS-RXN	b2019
RXN0-1941	b3012
RXN-15292	b1905
OXALYL-COA-DECARBOXYLASE-RXN	b2373
CARBOXYLATE-REDUCTASE-RXN	b0284
CARBOXYLATE-REDUCTASE-RXN	b0285
CARBOXYLATE-REDUCTASE-RXN	b0286
RXN0-2441	b1519
RXN-15607	b2842
PEPSYNTH-RXN	b1702
RXN0-7317	b3073
COBALADENOSYLTRANS-RXN	b1270
RXN0-2921	b2315
RXN-1623	b3018
RXN0-7349	b1055
CYTIDEAM-RXN	b2143
RXN0-3201	b1766
RXN0-3201	b0176
RXN3O-470	b0871
DCTP-PYROPHOSPHATASE-RXN	b2251
RXN0-382	b3564
PROTOPORGENOXI-RXN	b3850
SORBITOL-6-PHOSPHATASE-RXN	b2293
SORBITOL-6-PHOSPHATASE-RXN	b1727
DHBAMPLIG-RXN	b0594
RXN0-4301	b0222
RXN-17495	b0980
SULFOCYS-RXN	b2421
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN	b2147
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN	b2146
R621-RXN	b2552
THREONINE--TRNA-LIGASE-RXN	b1719
DTDPGLUCOSEPP-RXN	b2039
DTDPGLUCOSEPP-RXN	b3789
RXN0-5120	b3631
RXN-17789	b3846
RXN-17789	b2341
RIBULP3EPIM-RXN	b3386
TREHALA-RXN	b1197
TREHALA-RXN	b3519
ETHAMLY-RXN	b2440
ETHAMLY-RXN	b2441
RXN-11032	b2426
TYROSINE-AMINOTRANSFERASE-RXN	b4054
TYROSINE-AMINOTRANSFERASE-RXN	b0928
FUC4NACTRANS-RXN	b4404
RXN0-5217	b0121
1.1.1.83-RXN	b1800
RXN-17960	b4093
RXN-11574	b0948
URA-PHOSPH-RXN	b4382
GARTRANSFORMYL2-RXN	b1849
RXN0-5294	b3622
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	b0350
RXN-18586	b0849
RXN-11637	b3146
XYLISOM-RXN	b3565
RXN0-5391	b3846
2.7.10.1-RXN	b0981
2.7.10.1-RXN	b2060
RXN-11840	b2791
GLUTDECARBOX-RXN	b3517
GLUTDECARBOX-RXN	b1493
RXN0-5455	b1300
3-DEHYDROQUINATE-SYNTHASE-RXN	b3389
RXN-19407	b0798
GLYCOLALDREDUCT-RXN	b2799
RXN0-6367	b1606
GPPSYN-RXN	b0421
3.2.2.21-RXN	b2068
RXN-20410	b2159
RXN-20410	b1749
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	b1865
RXN-20707	b1012
HOMSUCTRAN-RXN	b4013
RXN0-6541	b3916
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	b4040
RXN-14074	b0474
IPPISOM-RXN	b2889
RXN0-6676	b1449
RXN-14188	b1759
KETOGLUTREDUCT-RXN	b2913
RXN0-6941	b3070
RXN-5921	b1802
RXN-5921	b1803
RXN-14286	b3417
LUMAZINESYN-RXN	b0415
ADENYL-KIN-RXN	b0474
RXN-14479	b0585
MANNKIN-RXN	b0394
RXN0-7008	b1014
ALCOHOL-DEHYDROG-RXN	b1478
ALCOHOL-DEHYDROG-RXN	b1241
RXN-8654	b4386
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN	b0159
RXN0-7066	b1870
AMINOBUTDEHYDROG-RXN	b1444
AMINOBUTDEHYDROG-RXN	b1300
NAG6PDEACET-RXN	b0677
RXN0-7114	b0195
ASNSYNA-RXN	b3744
ASNSYNA-RXN	b0674
RXN0-1483	b0123
RXN0-1483	b3336
RXN-15121	b3772
RXN-15121	b3117
RXN-15121	b3939
O-SUCCINYLBENZOATE-COA-LIG-RXN	b2260
RXN0-2023	b1133
RXN-15297	b3883
RXN0-7275	b2212
CARNDETRU-RXN	b0036
RXN0-2604	b3652
PGLUCISOM-RXN	b4025
RXN0-7325	b2431
COBINPGUANYLYLTRANS-RXN	b1993
RXN0-2943	b0123
RXN-16312	b2593
PHOSMANMUT-RXN	b2048
RXN0-7363	b0304
CYTIKIN-RXN	b2066
PPENTOMUT-RXN	b4383
RXNMETA-12672	b1387
DEHYDDEOXGALACTKIN-RXN	b3693
PRTRANS-RXN	b1263
DHHB-METHYLTRANSFER-RXN	b2232
RXN0-4361	b0200
TAGAKIN-RXN	b1723
DIMETHUROPORDEHYDROG-RXN	b3368
RXN-17776	b3846
RXN-17776	b2341
RHAMNISOM-RXN	b3903
THRESYN-RXN	b0004
DUDPKIN-RXN	b2518
RXN0-5123	b3625
TRIOSEPISOMERIZATION-RXN	b3919
F16ALDOLASE-RXN	b2925
F16ALDOLASE-RXN	b2097
RXN0-5187	b3812
RXN0-5187	b0844
RXN0-5187	b0383
UDP-NACMURALGLDAPAALIG-RXN	b0086
FUCULOKIN-RXN	b2803
RXN0-5223	b2086
1.5.1.20-RXN	b3941
URIDINE-NUCLEOSIDASE-RXN	b0030
URIDINE-NUCLEOSIDASE-RXN	b0651
URIDINE-NUCLEOSIDASE-RXN	b2162
GDPKIN-RXN	b2518
GDPKIN-RXN	b0474
RXN0-5298	b2804
2.1.1.77-RXN	b2743
RXN-18707	b3470
YIAE1-RXN	b3553
GLUCOSE-1-PHOSPHAT-RXN	b1002
GLUCOSE-1-PHOSPHAT-RXN	b3885
RXN0-5398	b2165
2.7.7.1-RXN	b4390
RXN-19245	b0708
RXN-11843	b0058
GLUTRACE-RXN	b3967
RXN0-5507	b2765
3-ISOPROPYLMALISOM-RXN	b0071
3-ISOPROPYLMALISOM-RXN	b0072
RXN-19492	b1461
GLYCPDIESTER-RXN	b2239
GLYCPDIESTER-RXN	b3449
RXN0-6382	b2954
RXN-12583	b0114
RXN-20756	b0503
CITLY-RXN	b0617
CITLY-RXN	b0615
CITLY-RXN	b0616
GSPAMID-RXN	b2988
RXN-13853	b0578
RXN-13179	b0052
RXN0-6480	b3704
RXN0-6480	b3123
RXN0-6549	b0838
ASNSYNB-RXN	b0674
RXN-2043	b3531
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	b0713
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	b0711
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	b0712
RXN-12894	b1011
RXN-12886	b1012
RXN-21027	b3503
RXN0-6511	b1387
H2PTEROATESYNTH-RXN	b3177
RXN-14112	b4213
CARBPSYN-RXN	b0033
CARBPSYN-RXN	b0032
RXN0-6510	b1394
ISOCIT-CLEAV-RXN	b4015
RXN-13163	b0072
RXN-13163	b0071
RXN0-6710	b4092
RXN-13403	b3368
ACETATEKIN-RXN	b2296
ACETATEKIN-RXN	b1849
2.6.1.82-RXN	b3073
RXN-21308	b2159
PYRUVDEH-RXN	b0114
PYRUVDEH-RXN	b0115
PYRUVDEH-RXN	b0116
RXN-14249	b3616
RXN-14249	b3589
RXN-15294	b1905
RXN0-6948	b1448
RXN-12893	b0340
ACSERLY-RXN	b2414
ACSERLY-RXN	b2421
RXN-13158	b0073
RXN-13158	b1800
RXN-8001	b2020
RXN-14361	b3615
RXN-16001	b1539
LYSINE--TRNA-LIGASE-RXN	b4129
LYSINE--TRNA-LIGASE-RXN	b2890
GLUTAMATESYN-RXN	b3212
GLUTAMATESYN-RXN	b3213
RXN0-7310	b3860
ISOCITDEH-RXN	b1136
ADENYLYLSULFKIN-RXN	b2750
RXN-8182	b1525
RXN-8182	b2661
MANNOSE-ISOMERASE-RXN	b3880
RXN0-7013	b1045
RXN-8770	b0638
RXN-14524	b4055
MHPHYDROXY-RXN	b0347
AMP-DEPHOSPHORYLATION-RXN	b0383
RXN-9952	b2029
NAPHTHOATE-SYN-RXN	b2262
RXN0-7122	b3825
ASPARAGINE--TRNA-LIGASE-RXN	b0930
RXN0-1661	b0585
RXN-15124	b2797
RXN-15124	b3117
RXN-15124	b1814
RXN-15124	b3111
RXN-15124	b2414
RXN-15124	b2421
RXN-15124	b3109
RXN-15124	b3008
RXN-15124	b1622
RXN-15124	b2366
RXN-15124	b3708
RXN-15124	b1919
RXN-10654	b2323
OHACYL-COA-DEHYDROG-RXN	b3846
OHACYL-COA-DEHYDROG-RXN	b2341
RXN-11482	b1288
RXN-15891	b0586
RXN-17127	b4386
RXN0-2061	b1192
P-PANTOCYSLIG-RXN	b3639
CDPDIGLYSYN-RXN	b0175
RXN0-1134	b0114
RXN0-262	b3857
RXN-15889	b0583
PGLYCEROLTRANSI-RXN	b4359
THIAZOLSYN2-RXN	b3991
2.3.1.179-RXN	b1095
RXN0-300	b3553
RXN0-300	b1033
4.2.1.58-RXN	b0180
RXN-16456	b3857
PHOSPHASERDECARB-RXN	b4160
RXN0-884	b0029
MCPMETEST-RXN	b1883
DADPKIN-RXN	b2518
RXN-10657	b1288
PRAISOM-RXN	b1262
RXN-17362	b0027
SAICARSYN-RXN	b2476
DEOXYGLUCONOKIN-RXN	b3526
RXN0-3922	b1300
RXN-9531	b2323
RXN-17104	b2251
RXN-9658	b1288
PSEUDOURIDINE-KINASE-RXN	b2166
SUCCDIAMINOPIMDESUCC-RXN	b2472
RXN0-5055	b2316
RXN0-5055	b0185
DIAMINOPIMDECARB-RXN	b2838
RXN0-6442	b0594
RXN0-4621	b1640
RXN-17634	b1967
QUERCETIN-23-DIOXYGENASE-RXN	b3439
TETHYDPICSUCC-RXN	b0166
DMBPPRIBOSYLTRANS-RXN	b1991
RXN0-5073	b4394
ADPREDUCT-RXN	b2235
ADPREDUCT-RXN	b2234
RXN-17779	b0221
RIB5PISOM-RXN	b4090
RIB5PISOM-RXN	b2914
THYM-PHOSPH-RXN	b4382
THYM-PHOSPH-RXN	b0391
PROTEIN-TYROSINE-PHOSPHATASE-RXN	b1838
PROTEIN-TYROSINE-PHOSPHATASE-RXN	b2734
PROTEIN-TYROSINE-PHOSPHATASE-RXN	b2061
PROTEIN-TYROSINE-PHOSPHATASE-RXN	b0982
DXPREDISOM-RXN	b0173
RXN-10660	b0180
RXN0-5126	b3626
RXN-13039	b4386
RXN-17795	b3845
RXN-17795	b2342
RXN-17824	b2213
RXN-17824	b1335
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	b2960
FCLEPIM-RXN	b2052
RXN0-5192	b4146
RXN-9535	b2323
RXN-17919	b3647
RXN-17919	b2411
RXN-9661	b1288
RXN-11313	b1733
UDPGLCNACEPIM-RXN	b3786
GALACTARDEHYDRA-RXN	b3128
RXN0-7169	b1198
RXN0-7169	b1199
RXN0-7169	b1200
RXN0-5226	b1107
1PFRUCTPHOSN-RXN	b2168
RXN-18093	b3447
RXN-11591	b3289
2.7.7.61-RXN	b0614
UROGENDECARBOX-RXN	b3997
GDPPYPHOSKIN-RXN	b3650
GDPPYPHOSKIN-RXN	b2784
CITTRANS-RXN	b0616
CITTRANS-RXN	b0615
CITTRANS-RXN	b0617
RXN0-5306	b3901
GCVT-RXN	b2905
2.3.1.157-RXN	b3730
MYRPALMTRAN-RXN	b1855
RXN-18710	b3741
RXN-18710	b3706
GLUCUROISOM-RXN	b3092
RXN0-5408	b2533
RXN-8655	b4386
RXN-11865	b3606
RXN-9539	b2323
RXN0-5515	b0175
RXN0-2142	b1093
3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN	b0383
RXN-19629	b0849
RXN-12402	b3656
GLYOXI-RXN	b1651
RXN0-747	b2676
RXN0-747	b2675
UDPREDUCT-RXN	b2235
UDPREDUCT-RXN	b2234
3.1.26.5-RXN	b3704
3.1.26.5-RXN	b3123
3-OXOACYL-ACP-REDUCT-RXN	b1093
GTP-CYCLOHYDRO-I-RXN	b2153
RXN0-6483	b1652
RXN0-6483	b1804
GSADENYLATION-RXN	b3053
RIBONUCLEOSIDE-TRIP-REDUCT-RXN	b4238
RXN-13072	b0219
RXN-11478	b1288
HEMN-RXN	b3867
RXN-15511	b0755
HISTCYCLOHYD-RXN	b2026
RXN-18434	b1066
3.6.1.41-RXN	b0049
RXN-20897	b0708
RXN-9516	b2323
RXN-13990	b1850
RXN-9555	b0494
HYPOXANPRIBOSYLTRAN-RXN	b0125
HYPOXANPRIBOSYLTRAN-RXN	b0238
RXN0-6556	b3420
5.3.3.14-RXN	b0954
RXN-21092	b3417
RXN-14116	b1014
RXN0-722	b2676
RXN0-722	b2675
KDGALDOL-RXN	b3126
ACETOLACTSYN-RXN	b3670
ACETOLACTSYN-RXN	b3671
ACETOLACTSYN-RXN	b3769
ACETOLACTSYN-RXN	b3767
ACETOLACTSYN-RXN	b0078
ACETOLACTSYN-RXN	b0077
1.8.4.8-RXN	b2762
RXN0-5264	b0996
RXN0-5264	b0997
3.1.3.16-RXN	b1838
3.1.3.16-RXN	b2734
3.1.3.16-RXN	b2072
RXN-14260	b3416
LACTALDDEHYDROG-RXN	b1415
ENOYL-ACP-REDUCT-NADPH-RXN	b1288
RXN0-6957	b1759
LAUROYLACYLTRAN-RXN	b1054
ACYLCOASYN-RXN	b1805
ACYLCOASYN-RXN	b1701
RXN-10462	b4041
RXN-14382	b2530
RXN-11481	b0180
LYXK-RXN	b3580
RXN-15890	b0594
RXN-15890	b0586
RXN-15890	b0583
RXN-15890	b0595
AGMATIN-RXN	b2937
RXN-18605	b4070
RXN-8342	b0785
RXN-8342	b0784
RXN-9523	b2323
RXN-9558	b1288
RXN0-7021	b3553
RXN0-1133	b0115
ALLANTOATE-DEIMINASE-RXN	b0516
RXN-8991	b0071
RXN-8991	b0072
RXN-14552	b2712
RXN0-7271	b3610
RXN0-7271	b1064
N-ACETYLGLUTPREDUCT-RXN	b3958
RXN0-7079	b1087
2.3.1.128-RXN	b4373
AMYLOMALT-RXN	b3416
NICONUCADENYLYLTRAN-RXN	b0639
MALONYL-COA-ACP-TRANSACYL-RXN	b1092
RXN0-7143	b1406
PALMITOTRANS-RXN	b2378
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	b3433
RXN-10656	b0180
RXN-15129	b3008
RXN-15129	b1622
RXN-15129	b2414
RXN-15129	b2421
RXN-15129	b3708
RXN-15129	b3109
OHMETPYRKIN-RXN	b2418
OHMETPYRKIN-RXN	b2103
DIHYDROOROTATE-DEHYDROGENASE-RXN	b0945
RXN-19342	b1270
BETA-PHOSPHOGLUCOMUTASE-RXN	b1317
RXN0-2161	b0893
RXN-9657	b1288
PANTETHEINE-KINASE-RXN	b3974
RXN0-2661	b2961
