#Created using genes_of_rxns.pl on Monday, October 23rd, 2023.
Reaction ID	gene
RXN-17944	b0123
RXN0-6373	b0124
3-OXOACYL-ACP-SYNTH-BASE-RXN	b1095
3-OXOACYL-ACP-SYNTH-BASE-RXN	b2323
UDPNACETYLMURAMATEDEHYDROG-RXN	b3972
GALACTUROISOM-RXN	b3092
RXN0-5285	b2787
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	b2907
RXN-11479	b2323
RXN-15512	b0755
RXN-11601	b2785
VALINE--TRNA-LIGASE-RXN	b4258
RXN-18584	b2205
RXN-18584	b2204
GLUCARDEHYDRA-RXN	b2787
RXN0-5375	b1412
2.6.1.57-RXN	b4054
RXN-9556	b1093
RXN-982	b3503
RXN-11836	b1269
GLUTATHIONE-PEROXIDASE-RXN	b1710
RXN0-5422	b0144
RXN0-723	b4238
2PGADEHYDRAT-RXN	b2779
RXN0-947	b0630
RXN-12072	b2538
RXN-12072	b2539
RXN-12072	b2542
RXN-12072	b2540
3.1.4.14-RXN	b0404
GLYCINE--TRNA-LIGASE-RXN	b3560
GLYCINE--TRNA-LIGASE-RXN	b3559
RXN0-6274	b4171
RXN-19793	b1023
RXN-12508	b0114
GMP-REDUCT-RXN	b0104
3.2.1.17-RXN	b0555
GUANPRIBOSYLTRAN-RXN	b0238
GUANPRIBOSYLTRAN-RXN	b0125
RXN-20681	b1314
HOMOCYSMETB12-RXN	b4019
4.2.1.99-RXN	b0118
RXN-20918	b0622
RXN-14047	b0118
RXN-14047	b1276
INORGPYROPHOSPHAT-RXN	b4226
INORGPYROPHOSPHAT-RXN	b0383
RXN0-6565	b2147
RXN0-6565	b2146
6PFRUCTPHOS-RXN	b1723
6PFRUCTPHOS-RXN	b3916
RXN-21261	b1633
RXN-14143	b2291
KDPGALDOL-RXN	b1850
RXN0-6732	b4099
RXN0-6732	b4101
RXN0-6732	b4100
RXN0-6732	b4096
ACETYLORNDEACET-RXN	b3957
RXN-3641	b1397
RXN-14282	b0403
R601-RXN	b4154
R601-RXN	b4153
R601-RXN	b4152
R601-RXN	b4151
LIPIDADISACCHARIDESYNTH-RXN	b0182
ADENOSINE-NUCLEOSIDASE-RXN	b0030
RXN-7632	b0801
MALTACETYLTRAN-RXN	b0459
RXN0-7001	b1733
ALANINE--TRNA-LIGASE-RXN	b2697
RXN-8506	b3844
RXN-14512	b0383
METHYLENETHFDEHYDROG-NADP-RXN	b0529
RXN0-704	b3580
ALTRODEHYDRAT-RXN	b3091
ARGININE-N-SUCCINYLTRANSFERASE-RXN	b1747
RXN0-1382	b2374
RXN-14992	b1212
NUCLEOSIDE-DIP-KIN-RXN	b2518
RXN0-7168	b3606
RXN-15740	b2241
RXN-15740	b2242
RXN-15740	b2243
ATPASE-RXN	b2184
ATPASE-RXN	b1203
RXN0-1922	b3068
RXN-15216	b1518
OXALODECARB-RXN	b1850
RXN0-7253	b4022
RXN0-2382	b1261
RXN-15581	b2366
PEPDEPHOS-RXN	b1854
PEPDEPHOS-RXN	b1676
RXN0-7316	b2659
ENTG-RXN	b0586
CITSYN-RXN	b0720
RXN0-280	b0935
RXN0-7347	b3416
CYTDEAM-RXN	b0337
PNPOXI-RXN	b1638
RXN1ZN3-9	b0778
DCTP-DEAM-RXN	b2065
RXN0-3741	b2291
RXN0-3741	b2361
RXN0-3741	b0480
